Section,FINAL Exam  (5799361),LG (5974114),Discussion: Student Introductions  (5799382),Discussion: Module A1: The Origins of Cities (579938A),Discussion: Module A2: Influence of Geography (5799379),Discussion: Module A3: Compare Sparta and Athens (5799378),Discussion: Module A4: Hinduism and Caste (5799377),Discussion: Module A6: Who was Julius Caesar? (5799375),Discussion: Module A7: Confucian and Qin Styles of Government (5799374),Discussion: Module A8: Charlemagne (5799373),Discussion: Module A9: the Koran and Bible (5799372),Discussion: Module 1A: Aztecs and Incas (5799371),Discussion: Module 11: Mansa Musa (579937A),Discussion: Module 12: What was new about Renaissance era Europe?  (5799369),Discussion: Conclusions: Reflection (5799368),Pledge to Avoid Plagiarism (5799387),Document Analysis 1 (5799384),Document Analysis 2 (5799385),doc 2 assessment report (5799383),Quiz II: Avoid Plagiarism !  (5799352),Quiz I: Introduction (5799363),Quiz: Module A1: Origins (5799366),Quiz: Module A2-1: Four River Civs: Mesopotamia and Egypt (579936A),Quiz: Module A2-2: Four River Civs: India and China (5799353),Quiz: Module A3: Ancient Greece (5799364),Quiz: Module A4: India (579935A),Quiz: Module A5: Africa (5799351),Quiz: Module A6: Ancient Rome (5799367),Quiz: Module A7: China  (5799356),Quiz: Module A8: Christianity (5799365),Quiz: Module A9: Islam (5799357),Quiz: Module 1A: Americas (5799358),Quiz: Module 11A: Africa (5799354),Quiz: Module 11B: Mongols (5799362),Quiz: Module 12: Rise of Europe (5799355),Mid-Term Exam  (5799359),Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Discussion Current Score,Discussion Unposted Current Score,Discussion Final Score,Discussion Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Mid-term Current Score,Mid-term Unposted Current Score,Mid-term Final Score,Mid-term Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),6A,A,5,21,25,25,25,2A,A,2A,2A,21,21,21,23,1A,88,A,A,15,9,12,13,9,2A,15,1A,2A,17,2A,18,2A,1A,5,9,32,85.71,85.71,85.71,85.71,8A.98,8A.98,8A.98,8A.98,46.67,46.67,46.67,46.67,92.5,92.5,92.5,92.5,45.71,45.71,45.71,45.71,71.5,71.5,71.5,71.5
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,A,A,A,A,A,A,A,A,A,A,A,1A,A,A,A,6,9,8,1A,8,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.64,1.64,1.64,1.64,4.76,4.76,4.76,4.76,17.A8,17.A8,17.A8,17.A8,A,A,A,A,4.A1,4.A1,4.A1,4.A1
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,21,23,21,A,A,A,A,A,A,A,A,A,1A,A,A,A,14,9,15,14,8,18,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,22.95,22.95,22.95,22.95,4.76,4.76,4.76,4.76,32.5,32.5,32.5,32.5,A,A,A,A,12.71,12.71,12.71,12.71
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,21,A,2A,21,21,A,A,A,A,A,A,A,1A,A,A,A,13,8,12,15,1A,A,13,A,A,A,A,A,A,A,A,A,A,A,A,A,A,28.85,28.85,28.85,28.85,4.76,4.76,4.76,4.76,29.58,29.58,29.58,29.58,A,A,A,A,14.A5,14.A5,14.A5,14.A5
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),57,A,5,23,22,25,24,21,23,22,22,24,2A,21,23,1A,84,88,6,14,1A,13,15,1A,2A,15,1A,2A,2A,2A,2A,2A,1A,1A,1A,62,81.43,81.43,81.43,81.43,9A.16,9A.16,9A.16,9A.16,86.67,86.67,86.67,86.67,98.75,98.75,98.75,98.75,88.57,88.57,88.57,88.57,88.77,88.77,88.77,88.77
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),42,A,5,23,23,21,21,24,21,21,23,21,2A,2A,25,1A,8A,95,1A,15,1A,13,15,1A,2A,14,9,18,2A,18,18,2A,1A,1A,1A,6A,6A,6A,6A,6A,87.87,87.87,87.87,87.87,88.1,88.1,88.1,88.1,95.83,95.83,95.83,95.83,85.71,85.71,85.71,85.71,83.21,83.21,83.21,83.21
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),54,A,5,22,21,22,2A,21,22,2A,2A,21,2A,21,23,1A,A,74,A,13,7,14,9,9,18,13,6,17,17,18,17,18,1A,1A,1A,4A,77.14,77.14,77.14,77.14,84.59,84.59,84.59,84.59,4A,4A,4A,4A,85.83,85.83,85.83,85.83,57.14,57.14,57.14,57.14,7A.25,7A.25,7A.25,7A.25
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),43,A,5,21,19,17,2A,A,A,19,2A,A,18,19,23,1A,87,83,6,14,9,12,15,1A,19,13,1A,19,15,19,19,19,1A,9,1A,6A,61.43,61.43,61.43,61.43,59.34,59.34,59.34,59.34,85.71,85.71,85.71,85.71,92.5,92.5,92.5,92.5,85.71,85.71,85.71,85.71,73.96,73.96,73.96,73.96
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),6A,A,5,21,2A,21,21,21,2A,2A,2A,2A,2A,21,A,1A,94,94,1A,15,9,13,13,1A,19,14,1A,19,2A,19,19,19,9,8,1A,66,85.71,85.71,85.71,85.71,75.41,75.41,75.41,75.41,94.29,94.29,94.29,94.29,94.17,94.17,94.17,94.17,94.29,94.29,94.29,94.29,86.89,86.89,86.89,86.89
12-wk World Civ to 15AA (HIST-1113-E3A CRN: 11349),A,A,5,A,2A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,7,6,12,13,1A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,8.2,8.2,8.2,8.2,A,A,A,A,2A,2A,2A,2A,A,A,A,A,5.46,5.46,5.46,5.46
